Dataset,time
smartdevices, 6348564
smartdevices, 6429538
smartdevices, 1389796
smartdevices, 7319571
smartdevices, 9296410
smartdevices, 15651880
smartdevices, 25500
smartdevices, 25801
smartdevices, 42000
smartdevices, 42300
smartdevices, 59401
smartdevices, 92400
smartdevices, 349500
smartdevices, 776999
smartdevices, 777299
smartdevices, 824401
smartdevices, 864000
smartdevices, 1085100
smartdevices, 1085400
smartdevices, 1085401
smartdevices, 1395900
smartdevices, 1396199
smartdevices, 1479601
smartdevices, 1481400
smartdevices, 1743600
smartdevices, 1919100
smartdevices, 1919101
smartdevices, 1921199
smartdevices, 1931403
smartdevices, 1935001
smartdevices, 1935007
smartdevices, 1989300
smartdevices, 1989599
smartdevices, 2137502
smartdevices, 2205901
smartdevices, 2206201
smartdevices, 2268001
smartdevices, 2272201
smartdevices, 2289900
smartdevices, 2352600
smartdevices, 2421599
smartdevices, 2525100
smartdevices, 2614200
smartdevices, 2970601
smartdevices, 3026699
smartdevices, 3044400
smartdevices, 3054601
smartdevices, 3069002
smartdevices, 3206400
smartdevices, 3892500
smartdevices, 4012800
smartdevices, 4026603
smartdevices, 4413000
smartdevices, 4671300
smartdevices, 6110401
smartdevices, 6514500
smartdevices, 6655500
smartdevices, 10240502
smartdevices, 14366049
smartdevices, 15812495
smartdevices, 177953
smartdevices, 833399
smartdevices, 14330105
smartdevices, 1585
smartdevices, 2190615
smartdevices, 79849
smartdevices, 91847
smartdevices, 1054892
smartdevices, 2180400
smartdevices, 6016854
smartdevices, 15686222
smartdevices, 8350199
smartdevices, 12439799
smartdevices, 96061
smartdevices, 10043
smartdevices, 965797
smartdevices, 3714163
smartdevices, 4891078
smartdevices, 5455631
smartdevices, 2047766
smartdevices, 224040
smartdevices, 5142625
smartdevices, 8955542
smartdevices, 10264749
smartdevices, 41595
smartdevices, 2969005
smartdevices, 3285705
smartdevices, 427588
smartdevices, 59041
smartdevices, 1695889
smartdevices, 2329157
smartdevices, 3114095
smartdevices, 4789790
smartdevices, 6327123
smartdevices, 9067042
smartdevices, 10300636
smartdevices, 11693009
smartdevices, 14644471
smartdevices, 5925619
smartdevices, 1760550
smartdevices, 592185
smartdevices, 594465
smartdevices, 3597595
smartdevices, 9192002
smartdevices, 13467602
smartdevices, 14400
smartdevices, 2607
smartdevices, 4946554
smartdevices, 752796
smartdevices, 1178766
smartdevices, 5204393
smartdevices, 5288214
smartdevices, 6711179
smartdevices, 869941
smartdevices, 4697979
smartdevices, 5824690
smartdevices, 812409
smartdevices, 1140179
smartdevices, 2171986
smartdevices, 2264036
smartdevices, 2427908
smartdevices, 4668963
smartdevices, 2219728
smartdevices, 8380870
smartdevices, 341970
smartdevices, 3569613
smartdevices, 5204156
smartdevices, 12408
smartdevices, 12409
smartdevices, 1016297
smartdevices, 422786
smartdevices, 19524
smartdevices, 2030393
smartdevices, 4191519
smartdevices, 13732814
smartdevices, 13805770
smartdevices, 4007545
smartdevices, 104259
smartdevices, 177257
smartdevices, 614299
smartdevices, 614596
smartdevices, 614613
smartdevices, 696666
smartdevices, 1222468
smartdevices, 1810187
smartdevices, 1810287
smartdevices, 1810335
smartdevices, 2343453
smartdevices, 2780131
smartdevices, 2874936
smartdevices, 3017311
smartdevices, 3017356
smartdevices, 3476384
smartdevices, 3703508
smartdevices, 3703520
smartdevices, 5180525
smartdevices, 5609197
smartdevices, 14311858
smartdevices, 3021335
smartdevices, 65161
smartdevices, 11
smartdevices, 1096233
smartdevices, 1483740
smartdevices, 9867290
smartdevices, 1304100
smartdevices, 7640
smartdevices, 62791
smartdevices, 322701
smartdevices, 410084
smartdevices, 861873
smartdevices, 861978
smartdevices, 605632
smartdevices, 717298
smartdevices, 82424
smartdevices, 4
smartdevices, 404859
smartdevices, 404863
smartdevices, 1336464
smartdevices, 1336467
smartdevices, 1519622
smartdevices, 1519627
smartdevices, 2051394
smartdevices, 2051397
smartdevices, 2633533
smartdevices, 2633535
smartdevices, 3933334
smartdevices, 5480458
smartdevices, 59
smartdevices, 806419
smartdevices, 1236172
smartdevices, 305727
smartdevices, 2479852
smartdevices, 5961697
smartdevices, 162126
smartdevices, 952502
hardware, 699126
hardware, 1026322
hardware, 1026685
hardware, 1052940
hardware, 1384032
hardware, 1467433
hardware, 1485273
hardware, 1511458
hardware, 1614892
hardware, 1637918
hardware, 1652310
hardware, 1653293
hardware, 1827155
hardware, 1831164
hardware, 1896849
hardware, 2125718
hardware, 2180136
hardware, 2222507
hardware, 2273109
hardware, 2302327
hardware, 2341551
hardware, 2341796
hardware, 2599989
hardware, 2613762
hardware, 2617144
hardware, 2823639
hardware, 2861689
hardware, 2927100
hardware, 3243891
hardware, 3357274
hardware, 3369340
hardware, 3528581
hardware, 3582960
hardware, 4892305
hardware, 6194918
hardware, 6262325
hardware, 6305533
hardware, 6474447
hardware, 6486458
hardware, 7344278
