test,time_window,time_leap,pattern,frequency,length,size
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01, 3208, 1, 2
model_BARD_5000_50_2_10_50, 3600000, 3600000, 0112, 505, 2, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 0110, 316, 2, 2
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011221, 70, 3, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011002, 69, 3, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011223, 30, 3, 4
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01100220, 22, 4, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01122332, 15, 4, 4
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01122334, 9, 4, 5
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01100223, 7, 4, 4
model_BARD_5000_50_2_10_50, 3600000, 3600000, 0112233443, 4, 5, 5
model_BARD_5000_50_2_10_50, 3600000, 3600000, 0110022334, 4, 5, 5
model_BARD_5000_50_2_10_50, 3600000, 3600000, 0110022332, 4, 5, 4
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01122113, 3, 4, 4
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011002233443, 2, 6, 5
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011223344554, 1, 6, 6
model_BARD_5000_50_2_10_50, 3600000, 3600000, 0112233445, 1, 5, 6
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011221133445, 1, 6, 6
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011221133443, 1, 6, 5
model_BARD_5000_50_2_10_50, 3600000, 3600000, 0112211334, 1, 5, 5
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01122002, 1, 4, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011220, 1, 3, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01100223344554, 1, 7, 6
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011002233445, 1, 6, 6
model_BARD_5000_50_2_10_50, 3600000, 3600000, 0110022112, 1, 5, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01100221, 1, 4, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01100220033445, 1, 7, 6
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01100220033443, 1, 7, 5
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011002200334, 1, 6, 5
model_BARD_5000_50_2_10_50, 3600000, 3600000, 0110022003, 1, 5, 4
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01, 3222, 1, 2
model_BARD_5000_50_2_10_50, 3600000, 3600000, 0112, 447, 2, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 0110, 272, 2, 2
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011002, 56, 3, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011221, 40, 3, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01100220, 13, 4, 3
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011223, 11, 3, 4
model_BARD_5000_50_2_10_50, 3600000, 3600000, 011001, 8, 3, 2
model_BARD_5000_50_2_10_50, 3600000, 3600000, 01122334, 3, 4, 5
