test,time_window,time_leap,pattern,frequency,length,size
model_BA_5000_0.4_2, 3600000, 3600000, 01, 3330, 1, 2
model_BA_5000_0.4_2, 3600000, 3600000, 0112, 1947, 2, 3
model_BA_5000_0.4_2, 3600000, 3600000, 011223, 1422, 3, 4
model_BA_5000_0.4_2, 3600000, 3600000, 01122334, 1249, 4, 5
model_BA_5000_0.4_2, 3600000, 3600000, 0112233445, 1044, 5, 6
model_BA_5000_0.4_2, 3600000, 3600000, 011223344556, 867, 6, 7
model_BA_5000_0.4_2, 3600000, 3600000, 01122334455667, 660, 7, 8
model_BA_5000_0.4_2, 3600000, 3600000, 0112233445566778, 447, 8, 9
model_BA_5000_0.4_2, 3600000, 3600000, 011223344556677889, 269, 9, 10
model_BA_5000_0.4_2, 3600000, 3600000, 0112233445566778899:, 158, 10, 11
model_BA_5000_0.4_2, 3600000, 3600000, 0110022334455667, 50, 8, 8
model_BA_5000_0.4_2, 3600000, 3600000, 01100223344556, 47, 7, 7
model_BA_5000_0.4_2, 3600000, 3600000, 011002233445566778, 39, 9, 9
model_BA_5000_0.4_2, 3600000, 3600000, 011002233445, 36, 6, 6
model_BA_5000_0.4_2, 3600000, 3600000, 0112233004455667, 32, 8, 8
model_BA_5000_0.4_2, 3600000, 3600000, 01100223344556677889, 32, 10, 10
model_BA_5000_0.4_2, 3600000, 3600000, 01122334455226677889, 31, 10, 10
model_BA_5000_0.4_2, 3600000, 3600000, 011223344115566778, 31, 9, 9
model_BA_5000_0.4_2, 3600000, 3600000, 0112233441155667, 29, 8, 8
model_BA_5000_0.4_2, 3600000, 3600000, 01122330044556, 29, 7, 7
model_BA_5000_0.4_2, 3600000, 3600000, 011223344552266778, 27, 9, 9
model_BA_5000_0.4_2, 3600000, 3600000, 011223344552266778899:, 25, 11, 11
model_BA_5000_0.4_2, 3600000, 3600000, 01122334411556677889, 25, 10, 10
model_BA_5000_0.4_2, 3600000, 3600000, 011223300445566778, 25, 9, 9
model_BA_5000_0.4_2, 3600000, 3600000, 0110022334, 24, 5, 5
model_BA_5000_0.4_2, 3600000, 3600000, 011223344115566778899:, 22, 11, 11
model_BA_5000_0.4_2, 3600000, 3600000, 01122330044556677889, 22, 10, 10
model_BA_5000_0.4_2, 3600000, 3600000, 01122334411556, 17, 7, 7
model_BA_5000_0.4_2, 3600000, 3600000, 011223300445, 17, 6, 6
model_BA_5000_0.4_2, 3600000, 3600000, 0112233445522667, 16, 8, 8
model_BA_5000_0.4_2, 3600000, 3600000, 011002233445566778899:, 14, 11, 11
model_BA_5000_0.4_2, 3600000, 3600000, 01100223, 13, 4, 4
model_BA_5000_0.4_2, 3600000, 3600000, 011223300445566778899:, 9, 11, 11
model_BA_5000_0.4_2, 3600000, 3600000, 011002, 8, 3, 3
model_BA_5000_0.4_2, 3600000, 3600000, 011223344115, 6, 6, 6
model_BA_5000_0.4_2, 3600000, 3600000, 01122332, 6, 4, 4
model_BA_5000_0.4_2, 3600000, 3600000, 0112233004, 6, 5, 5
model_BA_5000_0.4_2, 3600000, 3600000, 01122334455226, 5, 7, 7
model_BA_5000_0.4_2, 3600000, 3600000, 011223344005, 5, 6, 6
model_BA_5000_0.4_2, 3600000, 3600000, 0112233443, 4, 5, 5
model_BA_5000_0.4_2, 3600000, 3600000, 01122003, 4, 4, 4
model_BA_5000_0.4_2, 3600000, 3600000, 0112233440, 3, 5, 5
model_BA_5000_0.4_2, 3600000, 3600000, 01122330, 3, 4, 4
model_BA_5000_0.4_2, 3600000, 3600000, 011221, 3, 3, 3
model_BA_5000_0.4_2, 3600000, 3600000, 011220, 3, 3, 3
model_BA_5000_0.4_2, 3600000, 3600000, 011223344556677228, 2, 9, 9
model_BA_5000_0.4_2, 3600000, 3600000, 0112233445566117, 2, 8, 8
model_BA_5000_0.4_2, 3600000, 3600000, 011223344554, 2, 6, 6
model_BA_5000_0.4_2, 3600000, 3600000, 01122334455006, 2, 7, 7
model_BA_5000_0.4_2, 3600000, 3600000, 0112233441, 2, 5, 5
model_BA_5000_0.4_2, 3600000, 3600000, 01122334400556, 2, 7, 7
model_BA_5000_0.4_2, 3600000, 3600000, 011220033445, 2, 6, 6
model_BA_5000_0.4_2, 3600000, 3600000, 0112200334, 2, 5, 5
model_BA_5000_0.4_2, 3600000, 3600000, 0110, 2, 2, 2
model_BA_5000_0.4_2, 3600000, 3600000, 011223344556677887, 1, 9, 9
model_BA_5000_0.4_2, 3600000, 3600000, 0112233445566776, 1, 8, 8
model_BA_5000_0.4_2, 3600000, 3600000, 01122334455667722889, 1, 10, 10
model_BA_5000_0.4_2, 3600000, 3600000, 0112233445566772, 1, 8, 8
model_BA_5000_0.4_2, 3600000, 3600000, 01122334455665, 1, 7, 7
model_BA_5000_0.4_2, 3600000, 3600000, 01122334455664, 1, 7, 7
model_BA_5000_0.4_2, 3600000, 3600000, 011223344556611778, 1, 9, 9
model_BA_5000_0.4_2, 3600000, 3600000, 01122334455661, 1, 7, 7
model_BA_5000_0.4_2, 3600000, 3600000, 011223344553, 1, 6, 6
model_BA_5000_0.4_2, 3600000, 3600000, 01122334455226677887, 1, 10, 9
model_BA_5000_0.4_2, 3600000, 3600000, 0112233445522665, 1, 8, 7
model_BA_5000_0.4_2, 3600000, 3600000, 011223344552, 1, 6, 6
model_BA_5000_0.4_2, 3600000, 3600000, 0112233445500667, 1, 8, 8
model_BA_5000_0.4_2, 3600000, 3600000, 011223344550, 1, 6, 6
model_BA_5000_0.4_2, 3600000, 3600000, 0112233442, 1, 5, 5
model_BA_5000_0.4_2, 3600000, 3600000, 011223344115566776, 1, 9, 8
model_BA_5000_0.4_2, 3600000, 3600000, 01122334411554, 1, 7, 6
model_BA_5000_0.4_2, 3600000, 3600000, 01122331, 1, 4, 4
model_BA_5000_0.4_2, 3600000, 3600000, 0112233004455665, 1, 8, 7
model_BA_5000_0.4_2, 3600000, 3600000, 011223300443, 1, 6, 5
model_BA_5000_0.4_2, 3600000, 3600000, 01122003344556, 1, 7, 7
model_BA_5000_0.4_2, 3600000, 3600000, 0110022334455665, 1, 8, 7
model_BA_5000_0.4_2, 3600000, 3600000, 011002233442, 1, 6, 5
