test,time_window,time_leap,pattern,frequency,length,size
model_BA_5000_0.5_3, 3600000, 3600000, 011223344556677889, 6940, 9, 10
model_BA_5000_0.5_3, 3600000, 3600000, 0112233445566778, 6749, 8, 9
model_BA_5000_0.5_3, 3600000, 3600000, 0112233445566778899:, 6696, 10, 11
model_BA_5000_0.5_3, 3600000, 3600000, 01122334455667, 6073, 7, 8
model_BA_5000_0.5_3, 3600000, 3600000, 011223344556, 5216, 6, 7
model_BA_5000_0.5_3, 3600000, 3600000, 0112233445, 4273, 5, 6
model_BA_5000_0.5_3, 3600000, 3600000, 01, 3747, 1, 2
model_BA_5000_0.5_3, 3600000, 3600000, 01122334, 3470, 4, 5
model_BA_5000_0.5_3, 3600000, 3600000, 011223, 3036, 3, 4
model_BA_5000_0.5_3, 3600000, 3600000, 0112, 2958, 2, 3
model_BA_5000_0.5_3, 3600000, 3600000, 011002233445566778899:, 1655, 11, 11
model_BA_5000_0.5_3, 3600000, 3600000, 01100223344556677889, 1604, 10, 10
model_BA_5000_0.5_3, 3600000, 3600000, 011002233445566778, 1413, 9, 9
model_BA_5000_0.5_3, 3600000, 3600000, 011221133445566778899:, 1398, 11, 11
model_BA_5000_0.5_3, 3600000, 3600000, 01122113344556677889, 1188, 10, 10
model_BA_5000_0.5_3, 3600000, 3600000, 0110022334455667, 1117, 8, 8
model_BA_5000_0.5_3, 3600000, 3600000, 011221133445566778, 915, 9, 9
model_BA_5000_0.5_3, 3600000, 3600000, 01100223344556, 798, 7, 7
model_BA_5000_0.5_3, 3600000, 3600000, 0112211334455667, 640, 8, 8
model_BA_5000_0.5_3, 3600000, 3600000, 011223344335566778899:, 635, 11, 11
model_BA_5000_0.5_3, 3600000, 3600000, 01122334433556677889, 520, 10, 10
model_BA_5000_0.5_3, 3600000, 3600000, 011002233445, 507, 6, 6
model_BA_5000_0.5_3, 3600000, 3600000, 011223344335566778, 406, 9, 9
model_BA_5000_0.5_3, 3600000, 3600000, 01122113344556, 394, 7, 7
