test,time_window,time_leap,pattern,frequency,length,size
model_BA_5000_0.5_2, 3600000, 3600000, 01, 3330, 1, 2
model_BA_5000_0.5_2, 3600000, 3600000, 0112, 1762, 2, 3
model_BA_5000_0.5_2, 3600000, 3600000, 011223, 1145, 3, 4
model_BA_5000_0.5_2, 3600000, 3600000, 01122334, 794, 4, 5
model_BA_5000_0.5_2, 3600000, 3600000, 0112233445, 599, 5, 6
model_BA_5000_0.5_2, 3600000, 3600000, 011223344556, 457, 6, 7
model_BA_5000_0.5_2, 3600000, 3600000, 01122334455667, 341, 7, 8
model_BA_5000_0.5_2, 3600000, 3600000, 0112233445566778, 236, 8, 9
model_BA_5000_0.5_2, 3600000, 3600000, 011223344556677889, 147, 9, 10
model_BA_5000_0.5_2, 3600000, 3600000, 0112211334455667, 100, 8, 8
model_BA_5000_0.5_2, 3600000, 3600000, 01122113344556, 95, 7, 7
model_BA_5000_0.5_2, 3600000, 3600000, 011221133445566778, 94, 9, 9
model_BA_5000_0.5_2, 3600000, 3600000, 0112233445566778899:, 91, 10, 11
model_BA_5000_0.5_2, 3600000, 3600000, 011002233445, 61, 6, 6
model_BA_5000_0.5_2, 3600000, 3600000, 011221133445, 60, 6, 6
model_BA_5000_0.5_2, 3600000, 3600000, 01100223344556, 57, 7, 7
model_BA_5000_0.5_2, 3600000, 3600000, 01122113344556677889, 55, 10, 10
model_BA_5000_0.5_2, 3600000, 3600000, 0110022334455667, 52, 8, 8
model_BA_5000_0.5_2, 3600000, 3600000, 0110022334, 46, 5, 5
model_BA_5000_0.5_2, 3600000, 3600000, 0112211334, 43, 5, 5
model_BA_5000_0.5_2, 3600000, 3600000, 01100223, 35, 4, 4
model_BA_5000_0.5_2, 3600000, 3600000, 011002233445566778, 32, 9, 9
model_BA_5000_0.5_2, 3600000, 3600000, 011221133114455667, 28, 9, 8
model_BA_5000_0.5_2, 3600000, 3600000, 011221133445566778899:, 27, 11, 11
model_BA_5000_0.5_2, 3600000, 3600000, 01122113311445566778, 24, 10, 9
model_BA_5000_0.5_2, 3600000, 3600000, 01122113, 22, 4, 4
model_BA_5000_0.5_2, 3600000, 3600000, 0112211331144556, 20, 8, 7
model_BA_5000_0.5_2, 3600000, 3600000, 0112211331144556677889, 18, 11, 10
model_BA_5000_0.5_2, 3600000, 3600000, 01100223344556677889, 17, 10, 10
model_BA_5000_0.5_2, 3600000, 3600000, 0110022003344556, 15, 8, 7
model_BA_5000_0.5_2, 3600000, 3600000, 011002, 15, 3, 3
model_BA_5000_0.5_2, 3600000, 3600000, 01122113311445, 14, 7, 6
model_BA_5000_0.5_2, 3600000, 3600000, 011002200334455667, 12, 9, 8
model_BA_5000_0.5_2, 3600000, 3600000, 011002233445566778899:, 10, 11, 11
model_BA_5000_0.5_2, 3600000, 3600000, 01100220033445566778, 10, 10, 9
model_BA_5000_0.5_2, 3600000, 3600000, 01100220033445, 10, 7, 6
model_BA_5000_0.5_2, 3600000, 3600000, 01122113311445566778899:, 8, 12, 11
model_BA_5000_0.5_2, 3600000, 3600000, 011221133114, 8, 6, 5
model_BA_5000_0.5_2, 3600000, 3600000, 011221, 7, 3, 3
model_BA_5000_0.5_2, 3600000, 3600000, 011002200334, 7, 6, 5
model_BA_5000_0.5_2, 3600000, 3600000, 0110, 6, 2, 2
model_BA_5000_0.5_2, 3600000, 3600000, 01122334455663, 4, 7, 7
model_BA_5000_0.5_2, 3600000, 3600000, 011223344552, 4, 6, 6
model_BA_5000_0.5_2, 3600000, 3600000, 0110022003344556677889, 4, 11, 10
model_BA_5000_0.5_2, 3600000, 3600000, 0110022003, 4, 5, 4
model_BA_5000_0.5_2, 3600000, 3600000, 01122330, 3, 4, 4
model_BA_5000_0.5_2, 3600000, 3600000, 01100220033445566778899:, 3, 12, 11
model_BA_5000_0.5_2, 3600000, 3600000, 0112233445566774, 2, 8, 8
model_BA_5000_0.5_2, 3600000, 3600000, 011223344551, 2, 6, 6
model_BA_5000_0.5_2, 3600000, 3600000, 0112233442, 2, 5, 5
model_BA_5000_0.5_2, 3600000, 3600000, 01122332, 2, 4, 4
model_BA_5000_0.5_2, 3600000, 3600000, 01122331, 2, 4, 4
model_BA_5000_0.5_2, 3600000, 3600000, 0112211331, 2, 5, 4
model_BA_5000_0.5_2, 3600000, 3600000, 011220, 2, 3, 3
model_BA_5000_0.5_2, 3600000, 3600000, 01122334455006, 1, 7, 7
model_BA_5000_0.5_2, 3600000, 3600000, 011223344550, 1, 6, 6
model_BA_5000_0.5_2, 3600000, 3600000, 0112233443, 1, 5, 5
model_BA_5000_0.5_2, 3600000, 3600000, 0112233441, 1, 5, 5
model_BA_5000_0.5_2, 3600000, 3600000, 0112233440, 1, 5, 5
model_BA_5000_0.5_2, 3600000, 3600000, 01122330044556, 1, 7, 7
model_BA_5000_0.5_2, 3600000, 3600000, 01122330044553, 1, 7, 6
model_BA_5000_0.5_2, 3600000, 3600000, 011223300445, 1, 6, 6
model_BA_5000_0.5_2, 3600000, 3600000, 0112233004, 1, 5, 5
model_BA_5000_0.5_2, 3600000, 3600000, 01100220, 1, 4, 3
