test,time_window,time_leap,pattern,frequency,length,size
model_BA_5000_0.0_2, 3600000, 3600000, 01122334455667, 4981, 7, 8
model_BA_5000_0.0_2, 3600000, 3600000, 011223344556, 4793, 6, 7
model_BA_5000_0.0_2, 3600000, 3600000, 0112233445566778, 4459, 8, 9
model_BA_5000_0.0_2, 3600000, 3600000, 0112233445, 3962, 5, 6
model_BA_5000_0.0_2, 3600000, 3600000, 011223344556677889, 3423, 9, 10
model_BA_5000_0.0_2, 3600000, 3600000, 01, 3330, 1, 2
model_BA_5000_0.0_2, 3600000, 3600000, 01122334, 2989, 4, 5
model_BA_5000_0.0_2, 3600000, 3600000, 0112, 2646, 2, 3
model_BA_5000_0.0_2, 3600000, 3600000, 011223, 2433, 3, 4
model_BA_5000_0.0_2, 3600000, 3600000, 0112233445566778899:, 2212, 10, 11
