test,time_window,time_leap,pattern,frequency,length,size
model_BA_5000_0.6_2, 3600000, 3600000, 01, 3330, 1, 2
model_BA_5000_0.6_2, 3600000, 3600000, 0112, 1431, 2, 3
model_BA_5000_0.6_2, 3600000, 3600000, 011223, 783, 3, 4
model_BA_5000_0.6_2, 3600000, 3600000, 01122334, 417, 4, 5
model_BA_5000_0.6_2, 3600000, 3600000, 0112233445, 223, 5, 6
model_BA_5000_0.6_2, 3600000, 3600000, 011223344556, 114, 6, 7
model_BA_5000_0.6_2, 3600000, 3600000, 01122334455667, 79, 7, 8
model_BA_5000_0.6_2, 3600000, 3600000, 0112233445566778, 64, 8, 9
model_BA_5000_0.6_2, 3600000, 3600000, 011223344556677889, 52, 9, 10
model_BA_5000_0.6_2, 3600000, 3600000, 0112233445566778899:, 50, 10, 11
model_BA_5000_0.6_2, 3600000, 3600000, 0112233442, 7, 5, 5
model_BA_5000_0.6_2, 3600000, 3600000, 01122331, 6, 4, 4
model_BA_5000_0.6_2, 3600000, 3600000, 01122334455667788229, 3, 10, 10
model_BA_5000_0.6_2, 3600000, 3600000, 011223344556677882, 3, 9, 9
model_BA_5000_0.6_2, 3600000, 3600000, 011223344225, 3, 6, 6
model_BA_5000_0.6_2, 3600000, 3600000, 0112233441, 3, 5, 5
model_BA_5000_0.6_2, 3600000, 3600000, 0110, 3, 2, 2
model_BA_5000_0.6_2, 3600000, 3600000, 01122330, 2, 4, 4
model_BA_5000_0.6_2, 3600000, 3600000, 011220, 2, 3, 3
model_BA_5000_0.6_2, 3600000, 3600000, 011223344556677118, 1, 9, 9
model_BA_5000_0.6_2, 3600000, 3600000, 0112233445566771, 1, 8, 8
model_BA_5000_0.6_2, 3600000, 3600000, 0112233445566007, 1, 8, 8
model_BA_5000_0.6_2, 3600000, 3600000, 01122334455660, 1, 7, 7
model_BA_5000_0.6_2, 3600000, 3600000, 0112233114, 1, 5, 5
model_BA_5000_0.6_2, 3600000, 3600000, 01122003, 1, 4, 4
