test,time_window,time_leap,pattern,frequency,length,size
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01, 2903, 1, 2
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0112, 430, 2, 3
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0110, 278, 2, 2
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011002, 57, 3, 3
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011221, 56, 3, 3
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011223, 29, 3, 4
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01100220, 19, 4, 3
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01100223, 15, 4, 4
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01122334, 13, 4, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01122332, 12, 4, 4
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0112233443, 10, 5, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0110022334, 10, 5, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011002233443, 9, 6, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0110022332, 8, 5, 4
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01122113, 6, 4, 4
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0112233224, 4, 5, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011221133443, 4, 6, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0112211334, 4, 5, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011002233224, 4, 6, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0110022112233443, 4, 8, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01100221122334, 4, 7, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011223344554, 3, 6, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01122334455335, 3, 7, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011223344553, 3, 6, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0112233445, 3, 5, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01122334433553, 3, 7, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011223344335, 3, 6, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011223322442, 3, 6, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0112211331, 3, 5, 4
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01100223344554, 3, 7, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0110022334455335, 3, 8, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01100223344553, 3, 7, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011002233445, 3, 6, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0110022334433553, 3, 8, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01100223344335, 3, 7, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01100223322442, 3, 7, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0110022112, 3, 5, 3
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01100221, 3, 4, 3
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011223344224, 2, 6, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0112233442, 2, 5, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01122002233443, 2, 7, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011220022334, 2, 6, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01122002, 2, 4, 3
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011220, 2, 3, 3
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01100223344224, 2, 7, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011002233442, 2, 6, 5
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011002211223344554, 2, 9, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01100221122334455335, 2, 10, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011002211223344553, 2, 9, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 0110022112233445, 2, 8, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 01100221122334433553, 2, 10, 6
model_BARD_5000_50_2_10_10, 3600000, 3600000, 011002211223344335, 2, 9, 6
