test,time_window,time_leap,pattern,frequency,length,size
model_BA_5000_0.2_2, 3600000, 3600000, 01, 3330, 1, 2
model_BA_5000_0.2_2, 3600000, 3600000, 01122334455667, 2554, 7, 8
model_BA_5000_0.2_2, 3600000, 3600000, 011223344556, 2497, 6, 7
model_BA_5000_0.2_2, 3600000, 3600000, 0112, 2316, 2, 3
model_BA_5000_0.2_2, 3600000, 3600000, 0112233445566778, 2301, 8, 9
model_BA_5000_0.2_2, 3600000, 3600000, 0112233445, 2272, 5, 6
model_BA_5000_0.2_2, 3600000, 3600000, 01122334, 2024, 4, 5
model_BA_5000_0.2_2, 3600000, 3600000, 011223, 1955, 3, 4
model_BA_5000_0.2_2, 3600000, 3600000, 011223344556677889, 1763, 9, 10
model_BA_5000_0.2_2, 3600000, 3600000, 0112233445566778899:, 1062, 10, 11
model_BA_5000_0.2_2, 3600000, 3600000, 011002233445566778, 96, 9, 9
model_BA_5000_0.2_2, 3600000, 3600000, 0110022334455667, 93, 8, 8
model_BA_5000_0.2_2, 3600000, 3600000, 01100223344556677889, 85, 10, 10
model_BA_5000_0.2_2, 3600000, 3600000, 01100223344556, 69, 7, 7
model_BA_5000_0.2_2, 3600000, 3600000, 011002233445566778899:, 49, 11, 11
model_BA_5000_0.2_2, 3600000, 3600000, 011002233445, 48, 6, 6
model_BA_5000_0.2_2, 3600000, 3600000, 01122334455667700889, 32, 10, 10
model_BA_5000_0.2_2, 3600000, 3600000, 0110022334, 30, 5, 5
model_BA_5000_0.2_2, 3600000, 3600000, 01100223, 22, 4, 4
model_BA_5000_0.2_2, 3600000, 3600000, 011223344556677008899:, 20, 11, 11
model_BA_5000_0.2_2, 3600000, 3600000, 011223344556611778, 18, 9, 9
model_BA_5000_0.2_2, 3600000, 3600000, 0112233445500667, 18, 8, 8
model_BA_5000_0.2_2, 3600000, 3600000, 01122334400556677889, 18, 10, 10
model_BA_5000_0.2_2, 3600000, 3600000, 01100223344556600778, 18, 10, 9
model_BA_5000_0.2_2, 3600000, 3600000, 011223344556677881, 15, 9, 9
model_BA_5000_0.2_2, 3600000, 3600000, 0112233445566778899::1, 12, 11, 11
model_BA_5000_0.2_2, 3600000, 3600000, 01122334455661177889, 10, 10, 10
model_BA_5000_0.2_2, 3600000, 3600000, 011223344550066778, 10, 9, 9
model_BA_5000_0.2_2, 3600000, 3600000, 0112233440055667, 10, 8, 8
