test,time_window,time_leap,pattern,frequency,length,size
model_BA_5000_0.5_1, 3600000, 3600000, 01, 2499, 1, 2
model_BA_5000_0.5_1, 3600000, 3600000, 0112, 606, 2, 3
model_BA_5000_0.5_1, 3600000, 3600000, 011223, 172, 3, 4
model_BA_5000_0.5_1, 3600000, 3600000, 01122334, 33, 4, 5
model_BA_5000_0.5_1, 3600000, 3600000, 0112233445, 3, 5, 6
model_BA_5000_0.5_1, 3600000, 3600000, 01, 2499, 1, 2
model_BA_5000_0.5_1, 3600000, 3600000, 0112, 613, 2, 3
model_BA_5000_0.5_1, 3600000, 3600000, 011223, 143, 3, 4
model_BA_5000_0.5_1, 3600000, 3600000, 01122334, 38, 4, 5
model_BA_5000_0.5_1, 3600000, 3600000, 0112233445, 14, 5, 6
model_BA_5000_0.5_1, 3600000, 3600000, 011223344556, 8, 6, 7
model_BA_5000_0.5_1, 3600000, 3600000, 01122334455667, 4, 7, 8
model_BA_5000_0.5_1, 3600000, 3600000, 01, 2499, 1, 2
model_BA_5000_0.5_1, 3600000, 3600000, 0112, 609, 2, 3
model_BA_5000_0.5_1, 3600000, 3600000, 011223, 171, 3, 4
model_BA_5000_0.5_1, 3600000, 3600000, 01122334, 48, 4, 5
model_BA_5000_0.5_1, 3600000, 3600000, 0112233445, 10, 5, 6
model_BA_5000_0.5_1, 3600000, 3600000, 011223344556, 3, 6, 7
model_BA_5000_0.5_1, 3600000, 3600000, 01, 2499, 1, 2
model_BA_5000_0.5_1, 3600000, 3600000, 0112, 609, 2, 3
model_BA_5000_0.5_1, 3600000, 3600000, 011223, 171, 3, 4
model_BA_5000_0.5_1, 3600000, 3600000, 01122334, 48, 4, 5
model_BA_5000_0.5_1, 3600000, 3600000, 0112233445, 10, 5, 6
model_BA_5000_0.5_1, 3600000, 3600000, 011223344556, 3, 6, 7
model_BA_5000_0.5_1, 3600000, 3600000, 01, 2499, 1, 2
model_BA_5000_0.5_1, 3600000, 3600000, 0112, 621, 2, 3
model_BA_5000_0.5_1, 3600000, 3600000, 011223, 170, 3, 4
model_BA_5000_0.5_1, 3600000, 3600000, 01122334, 57, 4, 5
model_BA_5000_0.5_1, 3600000, 3600000, 0112233445, 16, 5, 6
model_BA_5000_0.5_1, 3600000, 3600000, 011223344556, 3, 6, 7
