Test, Nodes, Edges, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11
smarthomes, 6525, 8282, 1, 1, 10, 15, 1200000, 47363, 4116, 3805, 3247, 1951, 68, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 1500000, 47636, 4116, 4513, 3833, 2115, 84, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 1800000, 55497, 4117, 5219, 4725, 2703, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 2100000, 59856, 4117, 5268, 4795, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 2400000, 60564, 4117, 5301, 4795, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 2700000, 61305, 4117, 5359, 4795, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 3000000, 61197, 4117, 6088, 4795, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 3300000, 51542, 4117, 6459, 4884, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 3600000, 56200, 4117, 6498, 5100, 3002, 108, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1000, 11063, 4090, 22, 1, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 5000, 11810, 4094, 106, 12, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 10000, 11434, 4094, 149, 15, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 30000, 17131, 4101, 374, 132, 37, 4, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 60000, 15733, 4103, 689, 172, 42, 4, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 120000, 23768, 4106, 1023, 529, 134, 4, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 300000, 31052, 4107, 1802, 1008, 402, 12, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 600000, 37093, 4112, 2582, 2442, 1496, 52, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 900000, 52202, 4117, 3356, 4098, 2655, 96, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1200000, 53733, 4117, 4001, 4098, 2655, 96, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1500000, 55224, 4117, 4667, 4544, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1800000, 56519, 4117, 5233, 4796, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 2100000, 55292, 4117, 5268, 4809, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 2400000, 67048, 4117, 5301, 4809, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 2700000, 58402, 4117, 5359, 4809, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 3000000, 59396, 4117, 6088, 4810, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 3300000, 52965, 4117, 6459, 5114, 3002, 108, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 3600000, 46956, 4117, 6498, 5129, 3002, 108, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 1000, 19385, 5235, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 5000, 22373, 5235, 159, 9, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 10000, 23700, 5235, 229, 9, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 30000, 23898, 5235, 314, 27, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 60000, 25504, 5235, 500, 48, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 120000, 27841, 5235, 817, 248, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 300000, 33700, 5238, 1229, 556, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 600000, 36688, 5238, 1683, 632, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 900000, 36975, 5238, 1980, 683, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 1200000, 36609, 5238, 2040, 691, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 1500000, 39102, 5238, 2337, 807, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 1800000, 40093, 5238, 2493, 1124, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 2100000, 39934, 5238, 2625, 1194, 0, 0, 0, 0, 0, 0, 0, 0
