Test, Nodes, Edges, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16
smarthomes, 6525, 8282, 1, 1, 10, 15, 5000, 9874, 4089, 97, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 10000, 10735, 4089, 139, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 30000, 11399, 4089, 321, 120, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 60000, 14382, 4089, 631, 170, 98, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 120000, 15057, 4089, 929, 320, 174, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 300000, 19695, 4089, 1628, 651, 456, 128, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 600000, 20709, 4089, 2214, 1131, 742, 455, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 900000, 27930, 4089, 2665, 2056, 1646, 1161, 462, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 1200000, 33047, 4089, 3275, 2136, 1816, 1241, 542, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 1500000, 48132, 4089, 3936, 2604, 2010, 1319, 606, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 1800000, 50236, 4089, 4502, 3007, 2390, 1732, 849, 265, 30, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 2100000, 62224, 4089, 4537, 3021, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 2400000, 62457, 4089, 4570, 3021, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 2700000, 60863, 4089, 4628, 3021, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 3000000, 77336, 4089, 5357, 3021, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 3300000, 89300, 4089, 5723, 3084, 2408, 1801, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 3600000, 83223, 4089, 5762, 3247, 2520, 1949, 921, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1000, 11132, 4089, 22, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 5000, 12044, 4089, 97, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 10000, 11791, 4089, 139, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 30000, 12630, 4089, 321, 136, 84, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 60000, 14025, 4089, 631, 172, 100, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 120000, 16912, 4089, 929, 412, 290, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 300000, 20308, 4089, 1628, 781, 540, 249, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
