test,time,using_time_window,length,time_window
devices, 3600000, 0, 4, 427163
devices, 3600000, 0, 4, 257443
devices, 3600000, 0, 5, 273182
devices, 3600000, 0, 5, 273182
devices, 3600000, 0, 6, 348068
devices, 3600000, 0, 4, 273760
devices, 3600000, 0, 4, 273760
devices, 3600000, 0, 5, 348068
devices, 3600000, 0, 3, 81426
devices, 3600000, 0, 4, 3623829
devices, 3600000, 0, 4, 3623669
devices, 3600000, 0, 4, 3368191
devices, 3600000, 0, 4, 1063949
devices, 3600000, 0, 4, 717485
devices, 3600000, 0, 4, 427163
devices, 3600000, 0, 4, 257443
devices, 3600000, 0, 5, 273182
devices, 3600000, 0, 5, 273182
devices, 3600000, 0, 6, 348068
devices, 3600000, 0, 4, 273760
devices, 3600000, 0, 4, 273760
devices, 3600000, 0, 5, 348068
devices, 3600000, 0, 3, 273182
devices, 3600000, 0, 3, 273182
devices, 3600000, 0, 4, 348068
devices, 3600000, 0, 2, 273760
devices, 3600000, 0, 2, 273760
devices, 3600000, 0, 3, 348068
devices, 3600000, 0, 2, 3369394
devices, 3600000, 0, 2, 1065152
devices, 3600000, 0, 2, 718688
devices, 3600000, 0, 2, 428366
devices, 3600000, 0, 2, 258646
devices, 3600000, 0, 3, 274385
devices, 3600000, 0, 3, 274385
devices, 3600000, 0, 4, 349271
devices, 3600000, 0, 2, 82082
devices, 3600000, 0, 3, 201580
devices, 3600000, 0, 4, 3625032
devices, 3600000, 0, 4, 3624872
devices, 3600000, 0, 4, 3369394
devices, 3600000, 0, 4, 1065152
devices, 3600000, 0, 4, 718688
devices, 3600000, 0, 4, 428366
devices, 3600000, 0, 4, 258646
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 6, 349271
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 5, 349271
devices, 3600000, 0, 3, 103453
devices, 3600000, 0, 4, 3625032
devices, 3600000, 0, 4, 3624872
devices, 3600000, 0, 4, 3369394
devices, 3600000, 0, 4, 1065152
devices, 3600000, 0, 4, 718688
devices, 3600000, 0, 4, 428366
devices, 3600000, 0, 4, 258646
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 6, 349271
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 5, 349271
devices, 3600000, 0, 3, 82629
devices, 3600000, 0, 4, 3625032
devices, 3600000, 0, 4, 3624872
devices, 3600000, 0, 4, 3369394
devices, 3600000, 0, 4, 1065152
devices, 3600000, 0, 4, 718688
devices, 3600000, 0, 4, 428366
devices, 3600000, 0, 4, 258646
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 6, 349271
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 5, 349271
devices, 3600000, 0, 3, 274385
devices, 3600000, 0, 3, 274385
devices, 3600000, 0, 4, 349271
devices, 3600000, 0, 2, 27466
devices, 3600000, 0, 3, 201580
devices, 3600000, 0, 4, 3625032
devices, 3600000, 0, 4, 3624872
devices, 3600000, 0, 4, 3369394
devices, 3600000, 0, 4, 1065152
devices, 3600000, 0, 4, 718688
devices, 3600000, 0, 4, 428366
devices, 3600000, 0, 4, 258646
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 6, 349271
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 5, 349271
devices, 3600000, 0, 3, 103453
devices, 3600000, 0, 4, 3625032
devices, 3600000, 0, 4, 3624872
devices, 3600000, 0, 4, 3369394
devices, 3600000, 0, 4, 1065152
devices, 3600000, 0, 4, 718688
devices, 3600000, 0, 4, 428366
devices, 3600000, 0, 4, 258646
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 6, 349271
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 5, 349271
devices, 3600000, 0, 3, 82629
devices, 3600000, 0, 4, 3625032
devices, 3600000, 0, 4, 3624872
devices, 3600000, 0, 4, 3369394
devices, 3600000, 0, 4, 1065152
devices, 3600000, 0, 4, 718688
devices, 3600000, 0, 4, 428366
devices, 3600000, 0, 4, 258646
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 5, 274385
devices, 3600000, 0, 6, 349271
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 4, 274963
devices, 3600000, 0, 5, 349271
devices, 3600000, 0, 3, 274385
devices, 3600000, 0, 3, 274385
devices, 3600000, 0, 4, 349271
devices, 3600000, 0, 2, 274963
devices, 3600000, 0, 2, 274963
devices, 3600000, 0, 3, 349271
devices, 3600000, 0, 2, 3434032
devices, 3600000, 0, 2, 1129790
devices, 3600000, 0, 2, 783326
devices, 3600000, 0, 2, 493004
devices, 3600000, 0, 2, 323284
devices, 3600000, 0, 3, 339023
devices, 3600000, 0, 3, 339023
devices, 3600000, 0, 4, 413909
devices, 3600000, 0, 2, 146720
devices, 3600000, 0, 3, 266218
devices, 3600000, 0, 4, 3689670
devices, 3600000, 0, 4, 3689510
devices, 3600000, 0, 4, 3434032
devices, 3600000, 0, 4, 1129790
devices, 3600000, 0, 4, 783326
devices, 3600000, 0, 4, 493004
devices, 3600000, 0, 4, 323284
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 6, 413909
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 5, 413909
devices, 3600000, 0, 3, 168091
devices, 3600000, 0, 4, 3689670
devices, 3600000, 0, 4, 3689510
devices, 3600000, 0, 4, 3434032
devices, 3600000, 0, 4, 1129790
devices, 3600000, 0, 4, 783326
devices, 3600000, 0, 4, 493004
devices, 3600000, 0, 4, 323284
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 6, 413909
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 5, 413909
devices, 3600000, 0, 3, 147267
devices, 3600000, 0, 4, 3689670
devices, 3600000, 0, 4, 3689510
devices, 3600000, 0, 4, 3434032
devices, 3600000, 0, 4, 1129790
devices, 3600000, 0, 4, 783326
devices, 3600000, 0, 4, 493004
devices, 3600000, 0, 4, 323284
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 6, 413909
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 5, 413909
devices, 3600000, 0, 3, 339023
devices, 3600000, 0, 3, 339023
devices, 3600000, 0, 4, 413909
devices, 3600000, 0, 2, 92104
devices, 3600000, 0, 3, 266218
devices, 3600000, 0, 4, 3689670
devices, 3600000, 0, 4, 3689510
devices, 3600000, 0, 4, 3434032
devices, 3600000, 0, 4, 1129790
devices, 3600000, 0, 4, 783326
devices, 3600000, 0, 4, 493004
devices, 3600000, 0, 4, 323284
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 6, 413909
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 5, 413909
devices, 3600000, 0, 3, 168091
devices, 3600000, 0, 4, 3689670
devices, 3600000, 0, 4, 3689510
devices, 3600000, 0, 4, 3434032
devices, 3600000, 0, 4, 1129790
devices, 3600000, 0, 4, 783326
devices, 3600000, 0, 4, 493004
devices, 3600000, 0, 4, 323284
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 6, 413909
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 5, 413909
devices, 3600000, 0, 3, 147267
devices, 3600000, 0, 4, 3689670
devices, 3600000, 0, 4, 3689510
devices, 3600000, 0, 4, 3434032
devices, 3600000, 0, 4, 1129790
devices, 3600000, 0, 4, 783326
devices, 3600000, 0, 4, 493004
devices, 3600000, 0, 4, 323284
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 5, 339023
devices, 3600000, 0, 6, 413909
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 4, 339601
devices, 3600000, 0, 5, 413909
devices, 3600000, 0, 3, 339023
devices, 3600000, 0, 3, 339023
devices, 3600000, 0, 4, 413909
devices, 3600000, 0, 2, 339601
devices, 3600000, 0, 2, 339601
devices, 3600000, 0, 3, 413909
devices, 3600000, 0, 2, 3514634
devices, 3600000, 0, 2, 1210392
devices, 3600000, 0, 2, 863928
devices, 3600000, 0, 2, 573606
devices, 3600000, 0, 2, 403886
devices, 3600000, 0, 3, 419625
devices, 3600000, 0, 3, 419625
devices, 3600000, 0, 4, 494511
devices, 3600000, 0, 2, 227322
devices, 3600000, 0, 3, 346820
devices, 3600000, 0, 4, 3770272
devices, 3600000, 0, 4, 3770112
devices, 3600000, 0, 4, 3514634
devices, 3600000, 0, 4, 1210392
devices, 3600000, 0, 4, 863928
devices, 3600000, 0, 4, 573606
devices, 3600000, 0, 4, 403886
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 6, 494511
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 5, 494511
devices, 3600000, 0, 3, 248693
devices, 3600000, 0, 4, 3770272
devices, 3600000, 0, 4, 3770112
devices, 3600000, 0, 4, 3514634
devices, 3600000, 0, 4, 1210392
devices, 3600000, 0, 4, 863928
devices, 3600000, 0, 4, 573606
devices, 3600000, 0, 4, 403886
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 6, 494511
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 5, 494511
devices, 3600000, 0, 3, 227869
devices, 3600000, 0, 4, 3770272
devices, 3600000, 0, 4, 3770112
devices, 3600000, 0, 4, 3514634
devices, 3600000, 0, 4, 1210392
devices, 3600000, 0, 4, 863928
devices, 3600000, 0, 4, 573606
devices, 3600000, 0, 4, 403886
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 6, 494511
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 5, 494511
devices, 3600000, 0, 3, 419625
devices, 3600000, 0, 3, 419625
devices, 3600000, 0, 4, 494511
devices, 3600000, 0, 2, 172706
devices, 3600000, 0, 3, 346820
devices, 3600000, 0, 4, 3770272
devices, 3600000, 0, 4, 3770112
devices, 3600000, 0, 4, 3514634
devices, 3600000, 0, 4, 1210392
devices, 3600000, 0, 4, 863928
devices, 3600000, 0, 4, 573606
devices, 3600000, 0, 4, 403886
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 5, 419625
devices, 3600000, 0, 6, 494511
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 4, 420203
devices, 3600000, 0, 5, 494511
devices, 3600000, 0, 3, 248693
devices, 3600000, 0, 4, 3770272
devices, 3600000, 0, 4, 3770112
devices, 3600000, 0, 4, 3514634
