Test, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16
smarthomes, 1, 1, 10, 15, 60000, 13865, 4089, 421, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 120000, 13395, 4089, 531, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 300000, 12310, 4089, 1025, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 600000, 12857, 4089, 1312, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 900000, 18663, 4089, 1453, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 1200000, 17297, 4089, 2010, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 1500000, 18131, 4089, 2412, 417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 1800000, 19298, 4089, 2722, 668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 2100000, 19524, 4089, 2757, 668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 2400000, 19159, 4089, 2782, 668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 2700000, 24196, 4089, 2820, 668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 3000000, 24070, 4089, 3197, 668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 3300000, 22175, 4089, 3446, 675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 1, 10, 15, 3600000, 21707, 4089, 3478, 682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 5000, 13252, 4089, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 10000, 16783, 4089, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 30000, 19122, 4089, 175, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 60000, 15223, 4089, 421, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 120000, 16520, 4089, 531, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 300000, 16631, 4089, 1025, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 600000, 20976, 4089, 1312, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 900000, 21882, 4089, 1453, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 1200000, 21395, 4089, 2010, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 1500000, 21818, 4089, 2412, 417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 1800000, 22746, 4089, 2722, 669, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 2100000, 23158, 4089, 2757, 682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 2400000, 25047, 4089, 2782, 682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 2700000, 29541, 4089, 2820, 682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 3000000, 30266, 4089, 3197, 683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 3300000, 30462, 4089, 3446, 696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 1, 0, 10, 15, 3600000, 27475, 4089, 3478, 711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 1000, 27275, 5233, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 5000, 20857, 5233, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 10000, 20346, 5233, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 30000, 19498, 5233, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 60000, 22517, 5233, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 120000, 24520, 5233, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 300000, 30616, 5233, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 1, 1, 10, 15, 600000, 35431, 5233, 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
