Test, Nodes, Edges, Algorithm, TimeWindow, PatternFamily, PatternGroup, 123,213,133,313,233,323
smartdevices,2581,3278,3,120000,121132,5,57,1,45,0,482,451
smartdevices,2581,3278,3,120000,121212,4,1,0,0,7,1,7
smartdevices,2581,3278,3,120000,121122,3,33,0,32,0,37,1001
smartdevices,2581,3278,3,120000,122132,2,42,3,42,3,63,63
smartdevices,2581,3278,3,120000,124134,1,60,9,60,9,900,900
smartdevices,2581,3278,3,300000,121322,8,2464,14,14,16,521,1201
smartdevices,2581,3278,3,300000,121232,7,50,0,5,0,257,525
smartdevices,2581,3278,3,300000,121312,6,9,13,0,63,0,51
smartdevices,2581,3278,3,300000,121132,5,83,1,118,0,532,441
smartdevices,2581,3278,3,300000,121212,4,1,0,0,7,1,7
smartdevices,2581,3278,3,300000,121122,3,69,0,126,0,60,1409
smartdevices,2581,3278,3,300000,122132,2,58,3,58,3,63,63
smartdevices,2581,3278,3,300000,124134,1,74,9,74,9,927,927
smartdevices,2581,3278,3,600000,121322,8,3317,14,23,17,522,2013
smartdevices,2581,3278,3,600000,121232,7,170,0,6,0,260,526
smartdevices,2581,3278,3,600000,121312,6,12,13,0,214,0,53
smartdevices,2581,3278,3,600000,121132,5,231,1,287,0,526,461
smartdevices,2581,3278,3,600000,121212,4,1,0,0,7,1,7
smartdevices,2581,3278,3,600000,121122,3,238,0,358,0,188,2061
smartdevices,2581,3278,3,600000,122132,2,82,3,82,3,66,66
smartdevices,2581,3278,3,600000,124134,1,94,9,94,9,929,929
smartdevices,2581,3278,3,1200000,121322,8,7184,14,45,17,522,5610
smartdevices,2581,3278,3,1200000,121232,7,745,0,6,0,260,526
smartdevices,2581,3278,3,1200000,121312,6,12,13,0,778,0,53
smartdevices,2581,3278,3,1200000,121132,5,751,1,1376,0,559,455
smartdevices,2581,3278,3,1200000,121212,4,1,0,0,7,1,9
smartdevices,2581,3278,3,1200000,121122,3,895,0,1365,0,706,5876
smartdevices,2581,3278,3,1200000,122132,2,134,3,134,3,66,66
smartdevices,2581,3278,3,1200000,124134,1,138,9,138,9,930,930
smartdevices,2581,3278,3,2400000,121322,8,15528,14,68,16,522,17128
smartdevices,2581,3278,3,2400000,121232,7,2065,0,6,0,263,526
smartdevices,2581,3278,3,2400000,121312,6,18,13,0,2553,0,60
smartdevices,2581,3278,3,2400000,121132,5,2123,1,3297,0,603,448
smartdevices,2581,3278,3,2400000,121212,4,1,0,0,7,1,16
smartdevices,2581,3278,3,2400000,121122,3,2388,0,3711,2,1869,15011
smartdevices,2581,3278,3,2400000,122132,2,205,3,205,3,70,70
smartdevices,2581,3278,3,2400000,124134,1,184,9,184,9,932,932
smartdevices,2581,3278,3,3600000,121322,8,23204,14,87,18,522,27063
smartdevices,2581,3278,3,3600000,121232,7,3236,0,6,0,263,526
smartdevices,2581,3278,3,3600000,121312,6,18,13,0,3957,0,64
smartdevices,2581,3278,3,3600000,121132,5,2895,1,4234,0,605,464
smartdevices,2581,3278,3,3600000,121212,4,3,1,0,7,6,46
smartdevices,2581,3278,3,3600000,121122,3,3534,1,5427,2,2807,22115
smartdevices,2581,3278,3,3600000,122132,2,240,4,240,4,71,71
smartdevices,2581,3278,3,3600000,124134,1,223,10,223,10,932,932
devices,4976,6558,3,1000,121322,8,3,1,14,26,6,39
devices,4976,6558,3,1000,121232,7,1,0,4,0,5,6
devices,4976,6558,3,1000,121312,6,0,2,0,0,0,14
devices,4976,6558,3,1000,121132,5,172,1,143,0,138,76
devices,4976,6558,3,1000,121212,4,0,0,0,0,1,0
devices,4976,6558,3,1000,121122,3,112,0,141,0,1,4
devices,4976,6558,3,1000,122132,2,59,2,59,2,12,12
devices,4976,6558,3,1000,124134,1,63,3,63,3,155,155
devices,4976,6558,3,5000,121322,8,12,1,21,36,11,43
devices,4976,6558,3,5000,121232,7,1,1,9,0,8,11
devices,4976,6558,3,5000,121312,6,8,2,0,0,0,34
devices,4976,6558,3,5000,121132,5,174,2,143,0,165,117
devices,4976,6558,3,5000,121212,4,0,0,0,0,1,0
devices,4976,6558,3,5000,121122,3,112,0,142,0,2,5
devices,4976,6558,3,5000,122132,2,122,4,122,4,41,41
devices,4976,6558,3,5000,124134,1,125,6,125,6,235,235
devices,4976,6558,3,10000,121322,8,43,2,16,41,34,71
devices,4976,6558,3,10000,121232,7,4,0,12,0,25,33
devices,4976,6558,3,10000,121312,6,15,3,0,0,0,38
devices,4976,6558,3,10000,121132,5,173,2,145,0,225,173
devices,4976,6558,3,10000,121212,4,0,0,0,0,2,0
devices,4976,6558,3,10000,121122,3,112,0,142,3,2,6
devices,4976,6558,3,10000,122132,2,123,4,123,4,58,58
devices,4976,6558,3,10000,124134,1,128,8,128,8,339,339
devices,4976,6558,3,30000,121322,8,3707,32,121,180,52,2277
devices,4976,6558,3,30000,121232,7,101,1,89,0,151,51
devices,4976,6558,3,30000,121312,6,206,31,0,49,0,169
devices,4976,6558,3,30000,121132,5,379,2,262,0,394,330
devices,4976,6558,3,30000,121212,4,1,1,0,1,1,2
devices,4976,6558,3,30000,121122,3,149,1,268,75,111,2054
devices,4976,6558,3,30000,122132,2,467,5,467,5,198,198
devices,4976,6558,3,30000,124134,1,471,10,471,10,535,535
devices,4976,6558,3,60000,121322,8,8361,36,249,309,110,5643
devices,4976,6558,3,60000,121232,7,273,4,281,3,435,104
devices,4976,6558,3,60000,121312,6,463,83,2,119,2,525
devices,4976,6558,3,60000,121132,5,608,4,428,0,646,535
devices,4976,6558,3,60000,121212,4,1,2,0,35,2,3
devices,4976,6558,3,60000,121122,3,261,2,442,284,437,6198
devices,4976,6558,3,60000,122132,2,722,9,722,9,499,499
devices,4976,6558,3,60000,124134,1,725,12,725,12,726,726
devices,4976,6558,3,120000,121322,8,18185,380,556,529,419,13099
devices,4976,6558,3,120000,121232,7,549,21,604,20,779,415
devices,4976,6558,3,120000,121312,6,682,345,11,274,5,632
devices,4976,6558,3,120000,121132,5,1118,7,813,7,1097,984
devices,4976,6558,3,120000,121212,4,17,10,5,159,2,35
devices,4976,6558,3,120000,121122,3,544,21,1023,700,1186,16089
devices,4976,6558,3,120000,122132,2,1154,16,1154,16,635,635
devices,4976,6558,3,120000,124134,1,1163,17,1163,17,927,927
devices,4976,6558,3,300000,121322,8,41528,1106,1222,1325,1117,31730
devices,4976,6558,3,300000,121232,7,1224,45,1141,40,1649,859
devices,4976,6558,3,300000,121312,6,1532,781,52,774,16,1062
devices,4976,6558,3,300000,121132,5,2209,11,1789,37,2015,1913
devices,4976,6558,3,300000,121212,4,57,50,9,292,11,112
devices,4976,6558,3,300000,121122,3,1411,67,2342,1679,2985,43120
devices,4976,6558,3,300000,122132,2,1681,22,1681,22,834,834
devices,4976,6558,3,300000,124134,1,1693,24,1693,24,1185,1185
devices,4976,6558,3,600000,121322,8,43683,1178,1287,1296,1120,32720
devices,4976,6558,3,600000,121232,7,1124,59,1143,40,1606,885
devices,4976,6558,3,600000,121312,6,1718,860,94,965,16,1058
devices,4976,6558,3,600000,121132,5,2310,25,1918,79,2017,1942
devices,4976,6558,3,600000,121212,4,96,116,12,324,14,148
devices,4976,6558,3,600000,121122,3,1477,103,2478,1773,2991,44162
devices,4976,6558,3,600000,122132,2,1808,22,1808,22,837,837
devices,4976,6558,3,600000,124134,1,1830,24,1830,24,1200,1200
devices,4976,6558,3,1200000,121322,8,46353,1317,1249,1297,1335,34454
devices,4976,6558,3,1200000,121232,7,1266,97,1203,40,1958,1097
devices,4976,6558,3,1200000,121312,6,1806,1081,155,904,16,1090
devices,4976,6558,3,1200000,121132,5,2419,57,2120,139,2048,1949
devices,4976,6558,3,1200000,121212,4,263,338,14,430,10,273
devices,4976,6558,3,1200000,121122,3,1664,363,2676,1963,3028,46060
devices,4976,6558,3,1200000,122132,2,1883,22,1883,22,858,858
devices,4976,6558,3,1200000,124134,1,1912,25,1912,25,1222,1222
devices,4976,6558,3,2400000,121322,8,46696,1419,1308,1279,1611,34771
devices,4976,6558,3,2400000,121232,7,1314,109,1215,40,2344,1255
devices,4976,6558,3,2400000,121312,6,2241,1238,247,1009,16,1058
devices,4976,6558,3,2400000,121132,5,2468,75,2350,233,2092,1949
devices,4976,6558,3,2400000,121212,4,518,526,25,560,23,446
devices,4976,6558,3,2400000,121122,3,1904,545,2893,2312,3457,46266
devices,4976,6558,3,2400000,122132,2,1893,22,1893,22,866,866
devices,4976,6558,3,2400000,124134,1,1923,25,1923,25,1232,1232
devices,4976,6558,3,3600000,121322,8,46933,1484,1292,1343,1707,35159
devices,4976,6558,3,3600000,121232,7,1329,144,1146,40,2655,1421
devices,4976,6558,3,3600000,121312,6,2636,1288,247,1087,16,1123
devices,4976,6558,3,3600000,121132,5,2737,103,2629,233,2093,1964
devices,4976,6558,3,3600000,121212,4,564,560,25,583,19,480
devices,4976,6558,3,3600000,121122,3,2091,622,3168,2707,3542,46683
devices,4976,6558,3,3600000,122132,2,1908,22,1908,22,870,870
devices,4976,6558,3,3600000,124134,1,1945,25,1945,25,1245,1245
smarthomes,6525,8282,3,1000,121322,8,107,5,2,7,0,18
smarthomes,6525,8282,3,1000,121232,7,0,0,0,0,4,0
smarthomes,6525,8282,3,1000,121312,6,0,5,0,0,0,11
smarthomes,6525,8282,3,1000,121132,5,7,1,1,0,75,74
smarthomes,6525,8282,3,1000,121212,4,0,0,0,0,1,0
smarthomes,6525,8282,3,1000,121122,3,0,0,7,0,0,78
smarthomes,6525,8282,3,1000,122132,2,11,2,11,2,16,16
smarthomes,6525,8282,3,1000,124134,1,5,2,5,2,147,147
smarthomes,6525,8282,3,5000,121322,8,148,17,2,31,27,87
smarthomes,6525,8282,3,5000,121232,7,1,1,2,0,9,27
smarthomes,6525,8282,3,5000,121312,6,24,17,1,0,0,53
smarthomes,6525,8282,3,5000,121132,5,20,3,7,1,166,136
smarthomes,6525,8282,3,5000,121212,4,1,0,0,12,3,12
smarthomes,6525,8282,3,5000,121122,3,0,0,12,0,0,99
smarthomes,6525,8282,3,5000,122132,2,33,7,33,7,82,82
smarthomes,6525,8282,3,5000,124134,1,28,8,28,8,299,299
smarthomes,6525,8282,3,10000,121322,8,180,17,2,38,48,170
smarthomes,6525,8282,3,10000,121232,7,1,1,2,0,22,48
smarthomes,6525,8282,3,10000,121312,6,24,17,1,0,0,76
smarthomes,6525,8282,3,10000,121132,5,26,2,10,2,212,174
smarthomes,6525,8282,3,10000,121212,4,1,0,0,13,3,12
smarthomes,6525,8282,3,10000,121122,3,0,0,15,0,0,132
smarthomes,6525,8282,3,10000,122132,2,42,7,42,7,112,112
smarthomes,6525,8282,3,10000,124134,1,37,8,37,8,381,381
smarthomes,6525,8282,3,30000,121322,8,703,85,4,90,154,1748
smarthomes,6525,8282,3,30000,121232,7,3,4,4,0,100,157
smarthomes,6525,8282,3,30000,121312,6,99,86,2,4,0,128
smarthomes,6525,8282,3,30000,121132,5,32,4,16,6,340,276
smarthomes,6525,8282,3,30000,121212,4,2,1,1,41,4,36
smarthomes,6525,8282,3,30000,121122,3,1,1,19,29,2,1071
smarthomes,6525,8282,3,30000,122132,2,51,13,51,13,211,211
smarthomes,6525,8282,3,30000,124134,1,52,17,52,17,612,612
smarthomes,6525,8282,3,60000,121322,8,3228,87,18,117,200,2904
smarthomes,6525,8282,3,60000,121232,7,19,6,16,0,142,210
smarthomes,6525,8282,3,60000,121312,6,111,88,2,11,0,137
smarthomes,6525,8282,3,60000,121132,5,91,3,43,7,454,385
