Test, Nodes, Edges, Algorithm, TimeWindow, PatternFamily, PatternGroup,123,213,133,313,233,323
smartdevices,2581,3278,3,10000,121132,5,5,1,3,0,88,50
smartdevices,2581,3278,3,30000,121132,5,12,1,10,0,267,214
smartdevices,2581,3278,3,60000,121132,5,31,1,21,0,392,336
smartdevices,2581,3278,3,120000,121132,5,57,1,45,0,482,451
smartdevices,2581,3278,3,300000,121132,5,83,1,118,0,532,441
smartdevices,2581,3278,3,600000,121132,5,231,1,287,0,526,461
smartdevices,2581,3278,3,1200000,121132,5,751,1,1376,0,559,455
smartdevices,2581,3278,3,2400000,121132,5,2123,1,3297,0,603,448
smartdevices,2581,3278,3,3600000,121132,5,2895,1,4234,0,605,464
smartdevices,2581,3278,3,1000,121312,6,0,2,0,0,0,3
smartdevices,2581,3278,3,5000,121312,6,2,2,0,1,0,6
smartdevices,2581,3278,3,10000,121312,6,2,2,0,1,0,11
smartdevices,2581,3278,3,30000,121312,6,9,13,0,4,0,38
smartdevices,2581,3278,3,60000,121312,6,9,13,0,5,0,43
smartdevices,2581,3278,3,120000,121312,6,9,13,0,16,0,51
smartdevices,2581,3278,3,300000,121312,6,9,13,0,63,0,51
smartdevices,2581,3278,3,600000,121312,6,12,13,0,214,0,53
smartdevices,2581,3278,3,1200000,121312,6,12,13,0,778,0,53
smartdevices,2581,3278,3,2400000,121312,6,18,13,0,2553,0,60
smartdevices,2581,3278,3,3600000,121312,6,18,13,0,3957,0,64
smartdevices,2581,3278,3,1000,121232,7,2,0,0,0,0,9
smartdevices,2581,3278,3,5000,121232,7,2,0,0,0,1,14
smartdevices,2581,3278,3,10000,121232,7,2,0,0,0,1,17
smartdevices,2581,3278,3,30000,121232,7,2,0,1,0,9,183
smartdevices,2581,3278,3,60000,121232,7,4,0,3,0,183,386
smartdevices,2581,3278,3,120000,121232,7,16,0,4,0,250,510
smartdevices,2581,3278,3,300000,121232,7,50,0,5,0,257,525
smartdevices,2581,3278,3,600000,121232,7,170,0,6,0,260,526
smartdevices,2581,3278,3,1200000,121232,7,745,0,6,0,260,526
smartdevices,2581,3278,3,2400000,121232,7,2065,0,6,0,263,526
smartdevices,2581,3278,3,3600000,121232,7,3236,0,6,0,263,526
smartdevices,2581,3278,3,1000,121322,8,16,2,2,4,9,36
smartdevices,2581,3278,3,5000,121322,8,20,2,2,5,14,54
smartdevices,2581,3278,3,10000,121322,8,21,2,2,6,15,54
smartdevices,2581,3278,3,30000,121322,8,76,14,2,14,180,107
smartdevices,2581,3278,3,60000,121322,8,551,14,4,17,382,384
smartdevices,2581,3278,3,120000,121322,8,2082,14,8,16,506,832
smartdevices,2581,3278,3,300000,121322,8,2464,14,14,16,521,1201
smartdevices,2581,3278,3,600000,121322,8,3317,14,23,17,522,2013
smartdevices,2581,3278,3,1200000,121322,8,7184,14,45,17,522,5610
smartdevices,2581,3278,3,2400000,121322,8,15528,14,68,16,522,17128
smartdevices,2581,3278,3,3600000,121322,8,23204,14,87,18,522,27063
itsecurity,8671,13652,3,1000,121122,3,34,0,36,9,62,1019
itsecurity,8671,13652,3,5000,121122,3,192,0,140,9,242,3027
itsecurity,8671,13652,3,10000,121122,3,203,0,248,9,245,3486
itsecurity,8671,13652,3,30000,121122,3,356,0,538,45,251,5746
itsecurity,8671,13652,3,60000,121122,3,608,0,1229,62,278,10671
itsecurity,8671,13652,3,120000,121122,3,1985,0,3912,260,537,32847
itsecurity,8671,13652,3,300000,121122,3,6741,2,19270,1296,1805,102128
itsecurity,8671,13652,3,600000,121122,3,17306,2,55595,3610,4076,245002
itsecurity,8671,13652,3,1200000,121122,3,52711,4,185580,19785,12420,630328
itsecurity,8671,13652,3,2400000,121122,3,131882,4,540653,80983,36523,1503188
itsecurity,8671,13652,3,3600000,121122,3,202982,5,910794,128727,54856,2246055
itsecurity,8671,13652,3,1000,121212,4,0,0,0,0,1,0
itsecurity,8671,13652,3,5000,121212,4,0,0,0,0,2,0
itsecurity,8671,13652,3,10000,121212,4,0,0,0,0,2,0
itsecurity,8671,13652,3,30000,121212,4,0,0,0,0,2,0
itsecurity,8671,13652,3,60000,121212,4,0,0,0,0,2,0
itsecurity,8671,13652,3,120000,121212,4,0,0,27,5,41,0
itsecurity,8671,13652,3,300000,121212,4,5,4,121,17,107,16
itsecurity,8671,13652,3,600000,121212,4,9,4,165,17,181,32
itsecurity,8671,13652,3,1200000,121212,4,16,11,303,57,433,59
itsecurity,8671,13652,3,2400000,121212,4,16,11,404,71,577,59
itsecurity,8671,13652,3,3600000,121212,4,16,11,489,85,786,59
itsecurity,8671,13652,3,1000,121132,5,62,2,39,0,166,170
itsecurity,8671,13652,3,5000,121132,5,202,2,152,1,325,252
itsecurity,8671,13652,3,10000,121132,5,232,3,191,0,341,298
itsecurity,8671,13652,3,30000,121132,5,538,3,444,0,397,325
itsecurity,8671,13652,3,60000,121132,5,1287,3,1142,0,516,393
itsecurity,8671,13652,3,120000,121132,5,4925,70,4219,26,701,600
itsecurity,8671,13652,3,300000,121132,5,17650,126,19144,120,1360,1160
itsecurity,8671,13652,3,600000,121132,5,46134,129,55410,212,1931,1783
itsecurity,8671,13652,3,1200000,121132,5,141851,177,168531,405,4000,4289
itsecurity,8671,13652,3,2400000,121132,5,378235,176,475675,580,8548,11154
itsecurity,8671,13652,3,3600000,121132,5,584411,171,785302,585,12645,20280
itsecurity,8671,13652,3,1000,121312,6,6,0,0,25,0,6
itsecurity,8671,13652,3,5000,121312,6,22,3,0,102,0,30
itsecurity,8671,13652,3,10000,121312,6,30,3,0,102,0,31
itsecurity,8671,13652,3,30000,121312,6,33,5,0,160,0,59
itsecurity,8671,13652,3,60000,121312,6,108,5,0,180,0,110
