Dataset,time
smarttech, 13000
smarttech, 2027
smarttech, 21183
smarttech, 8493
smarttech, 1203
smarttech, 227
smarttech, 2630
smarttech, 10870
smarttech, 1371
smarttech, 22046
smarttech, 42541
smarttech, 81573
smarttech, 17993
smarttech, 3374
smarttech, 693
smarttech, 3299
smarttech, 9209
smarttech, 906955
smarttech, 24789
smarttech, 17
smarttech, 5873
smarttech, 4
smarttech, 61
smarttech, 3701
smarttech, 160479
smarttech, 67692
smarttech, 4074
smarttech, 2029
smarttech, 261
smarttech, 362
smarttech, 47
smarttech, 87
smarttech, 119
smarttech, 275
smarttech, 111
smarttech, 233
smarttech, 501
smarttech, 62
smarttech, 73
smarttech, 54
smarttech, 94
smarttech, 95
smarttech, 81
smarttech, 176
smarttech, 25
smarttech, 212
smarttech, 46
smarttech, 1486
smarttech, 84
smarttech, 761
smarttech, 247
smarttech, 150
smarttech, 338
smarttech, 77
smarttech, 167
smarttech, 6454
smarttech, 521
smarttech, 109
smarttech, 842
smarttech, 11864
smarttech, 26241
smarttech, 255132
smarttech, 7683
smarttech, 4418
smarttech, 907
smarttech, 1619
smarttech, 2132
smarttech, 0
smarttech, 155959
smarttech, 156
smarttech, 664
smarttech, 2091
smarttech, 31
smarttech, 708
smarttech, 1868
smarttech, 2414
smarttech, 299
smarttech, 277669
smarttech, 283385
smarttech, 168875
smarttech, 114593
smarttech, 78681
smarttech, 1721
smartdevices, 397
smartdevices, 178
smartdevices, 543
smartdevices, 2269
smartdevices, 1988
smartdevices, 20867
smartdevices, 3302
smartdevices, 9914
smartdevices, 13671
smartdevices, 10604
smartdevices, 6191
smartdevices, 9229
smartdevices, 39011
smartdevices, 10849
smartdevices, 10596
smartdevices, 22394
smartdevices, 4989
smartdevices, 225
smartdevices, 4051
smartdevices, 2364
smartdevices, 8317
smartdevices, 10887
smartdevices, 2132
smartdevices, 2641
smartdevices, 3278
smartdevices, 354
smartdevices, 91
smartdevices, 120
smartdevices, 276
smartdevices, 532
smartdevices, 71
smartdevices, 18
smartdevices, 17977
smartdevices, 6444
smartdevices, 136
smartdevices, 46
smartdevices, 301
smartdevices, 79
smartdevices, 77
smartdevices, 104
smartdevices, 287
smartdevices, 259
smartdevices, 1776
smartdevices, 2380
smartdevices, 3659
smartdevices, 1044
smartdevices, 4768
smartdevices, 947
smartdevices, 18
smartdevices, 188
smartdevices, 32
smartdevices, 56
smartdevices, 25
smartdevices, 453
smartdevices, 47
smartdevices, 300
smartdevices, 29
smartdevices, 44
smartdevices, 131
smartdevices, 37
smartdevices, 20
smartdevices, 601
smartdevices, 9
smartdevices, 1
smartdevices, 262
smartdevices, 301
smartdevices, 56
smartdevices, 10
smartdevices, 197
smartdevices, 559
smartdevices, 753
smartdevices, 6310
smartdevices, 202
smartdevices, 5092
smartdevices, 1911
smartdevices, 89
smartdevices, 46
smartdevices, 197
smartdevices, 244
smartdevices, 151
smartdevices, 133
smartdevices, 1747
smartdevices, 2270
smartdevices, 962
smartdevices, 6516
smartdevices, 318
smartdevices, 2214
smartdevices, 383
smartdevices, 12507
smartdevices, 2088
smartdevices, 2934
smartdevices, 776
smartdevices, 12
smartdevices, 63
smartdevices, 23
smartdevices, 413
smartdevices, 891
smartdevices, 1825
smartdevices, 22984
smartdevices, 10
smartdevices, 187
smartdevices, 25266
smartdevices, 4551
smartdevices, 21
smartdevices, 220
smartdevices, 19
smartdevices, 7191
smartdevices, 33342
smartdevices, 3461
smartdevices, 77
smartdevices, 3007
smartdevices, 146
smartdevices, 40
smartdevices, 579
smartdevices, 3687
